Song,Artist,Year
( I 've Had ) The Time of My Life,Bill Medley featuring Jennifer Warnes,1987
Ai n't No Other Man,The Girly Team ( as made famous by Christina Aguilera ),2006
Asereje ( The Ketchup Song ),Las Ketchup,2002
Beauty and a Beat,Justin Bieber featuring Nicki Minaj,2012
Beware of the Boys ( Mundian To Bach Ke ),Panjabi MC,1997
Brand New Start,Anja,2012
Call Me Maybe,Carly Rae Jepsen,2011
Ca n't Take My Eyes Off You,Boys Town Gang,1982
Cercavo Amore,Emma,2012
Crazy Little Thing,Anja,2012
Crucified,Army of Lovers,1991
Diggin ' in the Dirt,Stefanie Heinzmann,2012
Disturbia,Rihanna,2008
Domino,Jessie J,2011
Everybody Needs Somebody to Love,Dancing Bros. ( as made famous by The Blues Brothers ),1980
The Final Countdown,Europe,1986
Good Feeling,Flo Rida,2011
Good Girl,Carrie Underwood,2012
Hit 'Em Up Style ( Oops ! ),Blu Cantrell,2001
Hot For Me,A.K.A,2012
