Year,Title,Role,Notes
1990,Midnight Caller,Crystal,Episode : Planes
2001,Love in a Cold Climate,Polly,Miniseries
2002-2004,Spooks,Christine Dale,10 episodes
2004,Agatha Christie 's Poirot,Henrietta Savernake,Episode : The Hollow
2006,Not Going Out,Kate,6 episodes
2008,Hotel Babylon,Katie,"Season 3 , Episode 6"
2009,Lie to Me,Gail,Episode : Depraved Heart
2009,House,Dr. Beasley,Episode : Broken
2011,Detroit 1-8-7,Jess Harkins,6 episodes
2012,Awake,Elizabeth Santoro,Episode : Oregon
2012-2013,CSI : NY,Christine Whitney,12 episodes
2014,White Collar,Eva Perkins,Episode : All 's Fair
