Metropolitan city,Area ( km² ),Population,Population Density ( /km² ),Date,Mayor
Rome Roma,"5,352","4,336,915",810,3 April 2014,Virginia Raggi ( M5S )
Milan Milano,"1,575","3,190,340","2,026",3 April 2014,Giuseppe Sala ( PD )
Naples Napoli,"1,171","3,128,702","2,672",3 April 2014,Luigi De Magistris ( DemA )
Turin Torino,"6,829","2,293,340",336,3 April 2014,Chiara Appendino ( M5S )
Palermo Palermo,"5,009","1,276,525",255,4 August 2015,Leoluca Orlando ( Independent )
Bari Bari,"3,821","1,251,004",327,3 April 2014,Antonio Decaro ( PD )
Catania Catania,"3,574","1,116,168",312,4 August 2015,Salvo Pogliese ( FI )
Florence Firenze,"3,514","1,007,435",287,3 April 2014,Dario Nardella ( PD )
Bologna Bologna,"3,702","1,005,831",271,3 April 2014,Virginio Merola ( PD )
Genoa Genova,"1,839","864,008",470,3 April 2014,Marco Bucci ( FI )
Venice Venezia,"2,462","858,455",349,3 April 2014,Luigi Brugnaro ( Independent )
Messina Messina,"3,266","647,477",198,4 August 2015,Cateno De Luca ( UdC )
Reggio Calabria Reggio Calabria,"3,183","558,959",176,3 April 2014,Giuseppe Falcomatà ( PD )
Cagliari Cagliari,"1,248","431,302",346,4 February 2016,Massimo Zedda ( Independent )
